English	Italiano
Aelwynor The Wildroot Father Deed	Incarico: Aelwynor il Padre delle Radici Selvatiche
Aether Howl	Ululato d'Etere
Aetherfang Phalanx	Falange Zanna d'Etere
Aetheric	Eterico
Aethershade	Ombra d'Etere
Age of Elven Atrocity	Era dell'Atrocità Elfica
Age: Unknown	Età: sconosciuta
Agility	Agilità
Agility:	Agilità:
Agir	Agir
Aid the adventurers.	Aiuta gli avventurieri.
Aimed Shot	Tiro mirato
Akolasis	Akolasis
Alacrity	Alacrità
Alaric	Alaric
Alchemy Bench	Banco d'alchimia
Alchemy Table	Tavolo d'alchimia
Alchemy Table Required	Richiede un tavolo d'alchimia
Alcohol	Alcolici
Aldoria	Aldoria
Aldoron	Aldoron
All	Tutti
All Characters Allowed	Tutti i personaggi ammessi
All selection slots are full	Tutti gli slot di selezione sono pieni
All Spells	Tutti gli incantesimi
Alpha Bite	Morso Alfa
Alpha Claw	Artiglio Alfa
Alpha Fur	Pelliccia Alfa
Alpha Fur Rug	Tappeto di Pelliccia Alfa
Alpha Howl	Ululato Alfa
Alpha Pounce	Balzo Alfa
Alpha Reposition	Riposizionamento Alfa
Althaeas Flourish	Fioritura di Althaea
Althaeas Spikes	Punte di Althaea
Althaeas Swap	Scambio di Althaea
Althaeas Tidal Wave	Onda di Marea di Althaea
Ambience Volume	Volume dell'ambiente
Ambush	Imboscata
Amulet	Amuleto
An assortment from Basilton's Garden. Purely decorative.	Un assortimento dal Giardino di Basilton. Puramente decorativo.
Ancient	Antico
and <color=#FFDA00>hold</color>	e <color=#FFDA00>tieni premuto</color>
Apple	Mela
Apple Juice	Succo di Mela
Apple Seed	Seme di Melo
Apple Tree Plot	Appezzamento di Meli
Apply	Applica
Arcane Band	Anello Arcano
Arcane Charm	Ciondolo Arcano
Arcane Endurance	Resistenza Arcana
Arcane Shielded	Scudo Arcano
Archetype	Archetipo
Archetype Attributes	Attributi dell'archetipo
Archetype:	Archetipo:
Archetype\n	Archetipo\n
Are you sure of your choices?	Sei sicuro delle tue scelte?
Are you sure you want to delete this character?	Vuoi davvero eliminare questo personaggio?
Are you sure you want to delete this world?	Vuoi davvero eliminare questo mondo?
Are you sure you want to disconnect from lobby?	Vuoi davvero disconnetterti dalla lobby?
Are you sure you want to sell your beloved pet?	Vuoi davvero vendere il tuo amato compagno?
Are you sure you want to shatter your equipped item?	Vuoi davvero frantumare l'oggetto equipaggiato?
Armor	Armatura
Armor Penetration	Penetrazione dell'armatura
Armor Penetration Percent	Penetrazione dell'armatura %
Armor Penetration Percent:	Penetrazione dell'armatura %:
Armor Penetration:	Penetrazione dell'armatura:
Armor Percent	Armatura %
Armor Percent:	Armatura %:
Armor:	Armatura:
Arrow Of The Deep Cold	Freccia del Freddo Profondo
Arrows	Frecce
Ascending	Crescente
Ashen Escalation	Escalation di Cenere
Astral Purr	Fusa Astrali
Attack	Attacco
Attack Damage	Danno d'attacco
Attack Damage:	Danno d'attacco:
Attack Speed	Velocità d'attacco
Attack Speed:	Velocità d'attacco:
Attack Swap	Cambio d'attacco
Attack with	Attacca con
Attacks	Attacchi
Attribute	Attributo
Attribute Stats	Valori degli attributi
Attributes	Attributi
Attributes Required	Attributi richiesti
Attributes respec'd!	Attributi riassegnati!
Audio	Audio
Audio Settings	Impostazioni audio
Auto	Automatico
Auto Attack	Attacco automatico
Auto Show Next Quest	Mostra automaticamente la prossima
Auto sprint in Settings Menu	Scatto automatico nel menu Impostazioni
Auto Sprint Outside Of Combat 	Scatto automatico fuori dal combattimento 
Auto Sprint While Exploring	Scatto automatico in esplorazione
Auto-Hide Base Walls	Nascondi automaticamente i muri
Auto-Open Doors	Apertura automatica delle porte
Automatic Sprint	Scatto automatico
Available Bounties	Taglie disponibili
Available Deeds	Incarichi disponibili
Available Points	Punti disponibili
Available Skill Points	Punti abilità disponibili
Available Skillpoint	Punto abilità disponibile
Axe	Ascia
Axe 1	Ascia 1
Axe 2	Ascia 2
Axe Arts	Arti dell'ascia
Back	Indietro
Back to Lobby Selection	Torna alla scelta della lobby
Back to World Selection	Torna alla scelta del mondo
Back\n	Indietro\n
Backstep	Passo indietro
Backstep Strike	Colpo in arretramento
Badge	Distintivo
Bandage	Benda
Bandit	Bandito
Banned Players: {0}	Giocatori banditi: {0}
banner of light	stendardo di luce
Barakthrum	Barakthrum
Barrel Chair	Sedia a Botte
Barrens	Terre Aride
Barrier	Barriera
Bash	Percossa
Bashers	Picchiatori
Basic Amulet	Amuleto Semplice
Basic Stats	Statistiche di base
Basilisk	Basilisco
Basilton	Basilton
Basilton Garden	Giardino di Basilton
Basilton's Farm	Fattoria di Basilton
Basilton's Seeds	Sementi di Basilton
Battle Axe	Ascia da battaglia
beacon	segnalatore
Beast Meat	Carne di Bestia
Beast Occupied Ruins Waypoint	Punto di passaggio delle Rovine Occupate
Beast Warden	Custode delle Bestie
Beast-Occupied Ruins	Rovine Occupate dalle Bestie
Beastfury	Furia Ferina
Bed	Letto
Befr	Befr
Befr accepted your junk for {0}g	Befr ha accettato la tua robaccia per {0}g
Befr's Shop	Negozio di Befr
bell-line	corda con campanelli
bell-lines	corde con campanelli
bell-tab	campanello segnalatore
Bellflower Soup	Zuppa di Campanula
Belt	Cintura
Bet ${0}	Punta ${0}
Betting Basics	Basi della puntata
Betting Rounds	Giri di puntata
Bite	Morso
Black Hole	Buco Nero
Blackblood Tempo	Tempo di Sangue Nero
Blackhole	Buco Nero
Blade	Lama
Blade Dance	Danza delle lame
Blazeborne Daggers	Pugnali Nati dalla Fiamma
Blazing Wrath	Ira Ardente
Bleeding	Sanguinamento
Bleeding Damage	Danno da sanguinamento
Bleeding Damage:	Danno da sanguinamento:
Bleeding Duration	Durata sanguinamento
Bleeding Duration:	Durata sanguinamento:
Bleeding Resistance	Resistenza al sanguinamento
Blessed Cincture	Cintura Benedetta
Blight Crow	Corvo del Morbo
Blighted	Infetto
Blighted Trail	Scia Infetta
Blightseed	Seme del Morbo
Blizzard	Tormenta
Block by Holding	Para tenendo premuto
Blood In The Water	Sangue nell'Acqua
Blood in the Water	Sangue nell'Acqua
Blood Rage Potion	Pozione della Furia Sanguinaria
Bloodfrenzy	Frenesia Sanguinaria
Blunt	Contundente
Blunt Armor	Armatura contundente
Blunt Armor:	Armatura contundente:
Blunt Damage	Danno contundente
Blunt Damage:	Danno contundente:
Blunt Force Execute	Esecuzione Contundente
Blunt Piercing	Penetrazione contundente
Blunt Piercing:	Penetrazione contundente:
Bolstering	Rinforzante
Bone Breaker	Spaccaossa
Bonus	Bonus
Boon Potion	Pozione del Favore
Boots	Stivali
Boss	Boss
Bottle Of Fire	Bottiglia di Fuoco
Bottle Of Fire On Death	Bottiglia di Fuoco alla Morte
Boulder Toss	Lancio di masso
Bounties	Taglie
Bracer	Bracciale
Bramble Fan	Ventaglio di Spine
Brawler	Rissoso
Brazier	Braciere
Breath	Soffio
Brews simple potions and tonics.	Prepara pozioni e tonici semplici.
Briar Heart Bridge	Ponte di Briar Heart
Briarheart Stomp	Pestone di Briarheart
Briarheart The Firecursed	Briarheart il Maledetto dal Fuoco
Broken Waygate Clearing	Radura del Varco Infranto
Brooch	Spilla
Brother Generals	Generali Fratelli
Brush Flax Plot	Appezzamento di Lino Selvatico
Brutalclaw	Artiglio Brutale
Build	Costruisci
Build a Campfire and Cook a Droop Core	Costruisci un falò e cuoci un Nucleo di Droop
Build a hanging bridge to cross the gap.	Costruisci un ponte sospeso per superare il dirupo.
Build Unlock	Sblocco costruzione
Build up Heimen's dwelling to access new songs.	Amplia la dimora di Heimen per accedere a nuovi brani.
Build: Select a tent, choose where to place, then press	Costruisci: scegli una tenda, decidi dove posizionarla, poi premi
Builder	Costruttore
Building Name	Nome della costruzione
Building Upgrade	Miglioramento della costruzione
Bullheart	Cuore di Toro
Bulwark	Baluardo
Burn Resistance	Resistenza all'ustione
Burn Salve	Unguento per ustioni
Burning	Ustione
Burning Damage	Danno da ustione
Burning Duration	Durata ustione
Burning Duration:	Durata ustione:
Burning Pit	Fossa Ardente
Burning Resistance	Resistenza all'ustione
Burnward	Guardia Ardente
Burrow Broth	Brodo di Tana
Button	Pulsante
Buy	Compra
Buy Back	Riacquista
Buy Multiple	Compra più unità
Buy Stack	Compra la pila
Buy-Back	Riacquista
By stone and song	Per la pietra e il canto
Call ${0}	Chiama ${0}
Call To The Moon	Richiamo alla Luna
Calmdrift	Deriva Calma
Camera Panning Dead Zone	Zona morta del movimento telecamera
Campfire	Falò
Campfire Required	Richiede un falò
Can be changed anytime from the Settings menu	Modificabile in qualsiasi momento dal menu Impostazioni
Cancel	Annulla
Cancel Queue	Annulla la coda
Cancel/Back	Annulla/Indietro
Cannot be empty	Non può essere vuoto
Cannot dismantle while another player is using it	Non puoi smontarlo mentre un altro giocatore lo usa
Cannot dismantle while items are present	Non puoi smontarlo mentre contiene oggetti
Cannot equip this item	Non puoi equipaggiare questo oggetto
Cannot respawn: a nearby ally is in combat	Impossibile rinascere: un alleato vicino è in combattimento
Cannot unequip pet while in courier mode.	Non puoi rimuovere il compagno in modalità corriere.
Cannot use backpack in combat	Non puoi usare lo zaino in combattimento
Capacity	Capienza
Cape	Mantello
caretaker's gem	gemma del custode
Carrion Parrot	Pappagallo Carogna
Carrion Sweep	Spazzata Carogna
Carrot	Carota
Cast spell with	Lancia incantesimi con
Cast spells with:	Lancia gli incantesimi con:
Casting	Lancio
Casting Selection	Selezione del lancio
Category	Categoria
Celestial Amulet	Amuleto Celestiale
Celestial Band	Anello Celestiale
Celestial Bracer	Bracciale Celestiale
Celestial Charm	Ciondolo Celestiale
Celestial Cincture	Cintura Celestiale
Celestial Emblem	Emblema Celestiale
Celestial Undercoat	Sottoveste Celestiale
Centaur	Centauro
Ceres	Ceres
Ceres Ether Missile	Dardo d'Etere di Ceres
Change Party Name	Cambia il nome del gruppo
Change World	Cambia mondo
Channel	Canalizzazione
Channeled Call	Richiamo Canalizzato
Character	Personaggio
Character Customization	Personalizzazione del personaggio
Character Info	Informazioni sul personaggio
Character name is already used or reserved	Il nome del personaggio è già in uso o riservato
Character name is too long	Il nome del personaggio è troppo lungo
Character name must be at least 2 characters	Il nome del personaggio deve avere almeno 2 caratteri
character name required	nome del personaggio obbligatorio
Character View	Vista del personaggio
Charge	Carica
Charged	Carico
Charges	Cariche
Charisma	Carisma
Charisma:	Carisma:
Charm	Ciondolo
Chest	Cassa
Chest List	Elenco delle casse
Chest Type	Tipo di cassa
Chick	Pulcino
Chicken	Gallina
Chicken Coop	Pollaio
Chicken Egg	Uovo di Gallina
Chill	Gelo
Chill Duration	Durata gelo
Chill Duration:	Durata gelo:
Chill Power	Potenza del gelo
Chill Power Increase	Aumento del potere del gelo
Chill Power:	Potenza del gelo:
Chill Resistance	Resistenza al gelo
Chilled	Assiderato
Chillhowl	Ululato Gelido
Chilling	Agghiacciante
Chillwing Descent	Discesa dell'Ala Gelida
chime	sonaglio
Choking Vine	Vite Soffocante
Choose	Scegli
Choose Building	Scegli la costruzione
Choose Deed	Scegli l'incarico
Choose item	Scegli oggetto
Choose pet	Scegli compagno
Choose Recipe	Scegli la ricetta
Choose recipe	Scegli la ricetta
Chosen of the Forest	Prescelto della Foresta
Chrono Spike	Spina cronale
Cinder Detonation	Detonazione di Brace
Circle of Magic	Cerchio di Magia
Class	Classe
Class:	Classe:
Claw	Artiglio
Clear Spring	Sorgente Limpida
Clear Water	Acqua Limpida
Cleave	Fendente
Click again to abandon: {0}	Clicca di nuovo per abbandonare: {0}
Click or Drag Consumables into your Hotbar	Clicca o trascina i consumabili nella barra rapida
Click or Drag Equipment into its Equipment slot.	Clicca o trascina l'equipaggiamento nel suo slot.
Click this button to track quest	Clicca questo pulsante per seguire la missione
Clone	Clone
Clone Dagger Throw	Lancio di Pugnale del Clone
Close	Chiudi
Cloth Lining	Fodera di Stoffa
Clothing	Abbigliamento
Clothing 1	Abbigliamento 1
Clothing 2	Abbigliamento 2
Club Swing And Slam	Mazzata e Schianto
Club Swing And Slam Stuck	Mazzata e Schianto Bloccati
Coagulating	Coagulante
Coal	Carbone
Codex	Codex
Codex Updated: New entries available	Codex aggiornato: nuove voci disponibili
Codex: Empowered Monster information discovered.	Codex: scoperte informazioni sui mostri potenziati.
Cold Scaled Power	Potere Scalato dal Freddo
Cold-Scaled Power	Potere Scalato dal Freddo
Combat	Combattimento
Combat Item	Oggetto da combattimento
Combat items refilled	Oggetti da combattimento ricaricati
Combat Medic	Medico da Campo
Combo Modifier	Modificatore di combo
Command Attack	Ordine: Attacca
Command Defend	Ordine: Difendi
Commanding	Imperioso
Common	Comune
Complete Map	Mappa completa
Complete Task Group	Completa il gruppo di compiti
Completed	Completato
Concentration	Concentrazione
Concentration On Hit	Concentrazione al colpo
Concentration Percent	Concentrazione %
Concentration Percent:	Concentrazione %:
Concentration Potion	Pozione di concentrazione
Concentration Regen	Rigen. concentrazione
Concentration Regeneration	Rigenerazione della concentrazione
Concentration:	Concentrazione:
Confirm	Conferma
Confirm Targeting	Conferma bersaglio
Conflagration	Conflagrazione
Connected Recipes	Ricette collegate
Consumable	Consumabile
Contagion	Contagio
Container	Contenitore
Continuar Jogo	Continua partita
Continue	Continua
Continue Game	Continua partita
Contribute	Contribuisci
Contribute All	Contribuisci con tutto
Control	Comandi
Control Settings	Impostazioni dei comandi
Control Type	Tipo di comando
Controller	Controller
Controller Type	Tipo di controller
Convergence	Convergenza
Cooked Beast Meat	Carne di bestia cotta
Cooked Critter	Bestiola Cotta
Cooking Skill:	Abilità cucina:
Cooking Station	Postazione di cucina
Cooks simple food and lights your camp.	Cucina cibo semplice e illumina il campo.
Cooldown	Tempo di recupero
Copper	Rame
Copper Ore	Minerale di Rame
Copper Pickaxe	Piccone di Rame
Copper Quarry	Cava di Rame
Copper Throwing Knife	Coltello da Lancio di Rame
Copper Woodcutting Axe	Ascia da Legna di Rame
Copy	Copia
Cordwyn Yard	Deposito di Cordwyn
Core Stats	Statistiche principali
Core stats	Statistiche principali
Corin	Corin
Corin's Camp	Campo di Corin
Corin's Campfire	Falò di Corin
Corin's Followers	Seguaci di Corin
Corin's Shop	Negozio di Corin
Cornu Charge	Carica di Cornu
Cornu charge	Carica di Cornu
Cornu Charge\n	Carica di Cornu\n
Corrupted Claw	Artiglio Corrotto
Corrupted Droop	Droop corrotto
Corrupted Droop Empowered	Droop corrotto potenziato
Corrupted Droop King Erupt	Eruzione del Re Droop Corrotto
Corrupted Droop King Lunge	Affondo del Re Droop Corrotto
Corrupted Droop King Spit	Sputo del Re Droop Corrotto
Corrupted Forest King	Re della Foresta corrotto
Corrupted Forest King Phase Change	Cambio di Fase del Re della Foresta Corrotto
Corrupted Grove	Boschetto Corrotto
Corrupted Guardian	Guardiano corrotto
Corrupted Heart	Cuore corrotto
Corrupted Heart False Lead	Cuore corrotto (falsa pista)
Corrupted Hunters	Cacciatori corrotti
Corrupted Monstrous Droop	Droop mostruoso corrotto
Corrupted Riverside Camp	Campo Corrotto sul Fiume
Corrupted Root Stomp	Pestone di Radici Corrotte
Corrupted Thicket	Boscaglia corrotta
Corrupted Thicket Entrance	Ingresso della Boscaglia Corrotta
Corrupted Treant	Treant corrotto
Corrupted Treant Bark	Corteccia di Treant Corrotto
Corrupted Treant Head	Testa di Treant Corrotto
Corrupted Treant Heart	Cuore di Treant Corrotto
Corrupted Treant Swipe	Fendente di Treant Corrotto
Corrupted Treant Trophy	Trofeo di Treant Corrotto
Corrupted Tree	Albero Corrotto
Corrupted Wildwood Wolf	Lupo di Wildwood corrotto
Corrupted Wildwood Wolf Empowered	Lupo di Wildwood corrotto potenziato
Corrupted Wolves	Lupi corrotti
Corrupting	Corrompente
Corruption	Corruzione
Cost	Costo
Could not find a player with that name	Nessun giocatore trovato con quel nome
Could not open the password prompt	Impossibile aprire la richiesta della password
Countdown cancelled: fewer than two players remain.	Conto alla rovescia annullato: restano meno di due giocatori.
Countdown complete. Dealing the first hand!	Conto alla rovescia finito. Si distribuisce la prima mano!
Counterfire Discipline	Disciplina del Controfuoco
Courier	Corriere
Courier Overview:	Riepilogo del corriere:
Cracking	Spaccante
Craft	Crea
Crafting	Artigianato
Crafting Codex	Codex dell'artigianato
Create	Crea
Create New Character	Crea nuovo personaggio
Create New World	Crea nuovo mondo
Credit	Crediti
Crippling Strike	Colpo Storpiante
Crit Chance	Probabilità di critico
Crit Damage	Danno critico
Critical Chance	Probabilità di critico
Critical Chance vs. Bleeding	Probabilità di critico vs. sanguinamento
Critical Chance vs. Bleeding:	Probabilità di critico vs. sanguinamento:
Critical Chance vs. Burning	Probabilità di critico vs. ustione
Critical Chance vs. Burning:	Probabilità di critico vs. ustione:
Critical Chance vs. Chilled	Probabilità di critico vs. assiderato
Critical Chance vs. Chilled:	Probabilità di critico vs. assiderato:
Critical Chance vs. Poison:	Probabilità di critico vs. veleno:
Critical Chance vs. Poisoned	Probabilità di critico vs. avvelenato
Critical Chance vs. Stunned	Probabilità di critico vs. stordito
Critical Chance vs. Stunned:	Probabilità di critico vs. stordito:
Critical Chance:	Probabilità di critico:
Critical Damage	Danno critico
Critical Damage vs. Bleeding	Danno critico vs. sanguinamento
Critical Damage vs. Bleeding:	Danno critico vs. sanguinamento:
Critical Damage vs. Burning	Danno critico vs. ustione
Critical Damage vs. Burning:	Danno critico vs. ustione:
Critical Damage vs. Chilled	Danno critico vs. assiderato
Critical Damage vs. Poison:	Danno critico vs. veleno:
Critical Damage vs. Poisoned	Danno critico vs. avvelenato
Critical Damage vs. Stunned	Danno critico vs. stordito
Critical Damage vs. Stunned:	Danno critico vs. stordito:
Critical Damage:	Danno critico:
Critical Multiplier	Moltiplicatore critico
Critical Rate	Probabilità di critico
Critter Meat	Carne di Bestiola
Crops grew	Le colture sono cresciute
Crops ready for harvest	Colture pronte per il raccolto
Crossbow	Balestra
Crossbow Swap	Cambio a balestra
Crownbreaker Sweep	Spazzata Spaccacorona
Cull	Abbatti
Cure	Cura
Current Area	Area attuale
Current Party	Gruppo attuale
Current XP:	XP attuali:
Cutting Shears	Cesoie
Cycle Tooltip	Scorri la descrizione
Dagger 1	Pugnale 1
Dagger 2	Pugnale 2
Daggers	Pugnali
Daisy Patch	Aiuola di Margherite
Damage	Danno
Damage vs. <40% HP	Danno vs. <40% HP
Damage vs. Bleeding	Danno vs. sanguinamento
Damage vs. Bleeding:	Danno vs. sanguinamento:
Damage vs. Burning	Danno vs. ustione
Damage vs. Burning:	Danno vs. ustione:
Damage vs. Chilled	Danno vs. assiderato
Damage vs. Chilled:	Danno vs. assiderato:
Damage vs. Full Health	Danno vs. salute massima
Damage vs. Full Health:	Danno vs. salute massima:
Damage vs. Low Health:	Danno vs. salute bassa:
Damage vs. Piercing:	Danno vs. penetrazione:
Damage vs. Poison:	Danno vs. veleno:
Damage vs. Poisoned	Danno vs. avvelenato
Damage vs. Stunned	Danno vs. stordito
Damage vs. Stunned:	Danno vs. stordito:
Dance	Danza
Dandelion	Dandelion
Dark Caverns	Caverne Oscure
Dark Gods	Dei Oscuri
Dark Lord	Signore Oscuro
Dash	Scatto rapido
Dash / Sprint	Scatto / Corsa
Dash with	Scatta con
Dashburst	Scatto Esplosivo
Date	Data
Daw's Shop	Negozio di Daw
Day	Giorno
Days	Giorni
Days:	Giorni:
Dazzler	Accecante
Deadly	Letale
Deadly Rhythm	Ritmo Letale
Deal increased damage to Chilled targets.	Infliggi più danno ai bersagli assiderati.
Deal increased damage to Stunned targets.	Infliggi più danno ai bersagli storditi.
Deal increased damage to targets at full Health.	Infliggi più danno ai bersagli con salute piena.
Deal increased damage to targets below 40% Health.	Infliggi più danno ai bersagli sotto il 40% di salute.
Deal increased damage to targets that are Bleeding.	Infliggi più danno ai bersagli sanguinanti.
Deal increased damage to targets that are Burning.	Infliggi più danno ai bersagli ustionati.
Deal increased damage to targets that are Poisoned.	Infliggi più danno ai bersagli avvelenati.
Deal less damage, but double the burning stacks	Infliggi meno danno, ma raddoppia le cariche di ustione
Decay	Decadimento
Decay Burst	Scarica di Decadimento
Decay Channel	Canalizzazione del Decadimento
Decay Damage	Danno da decadimento
Decay Damage:	Danno da decadimento:
Decay Piercing	Penetrazione da decadimento
Decay Piercing:	Penetrazione da decadimento:
Decay Resistance	Resistenza al decadimento
Decay Resistance:	Resistenza al decadimento:
Decor	Decorazioni
Deed	Incarico
Deed Board	Bacheca degli incarichi
Deed level	Livello dell'incarico
Deed level:	Livello dell'incarico:
Deed level: 12	Livello dell'incarico: 12
Deed Name Deed Name Deed NameDeed NameDeed Name	Nome Incarico Nome Incarico Nome IncaricoNome IncaricoNome Incarico
Deeds	Incarichi
Deeprest	Riposo Profondo
Deer	Cervo
Defence	Difesa
Defend And Assault	Difesa e Assalto
Defend and Assault	Difesa e Assalto
Defense	Difesa
Defensive Spell	Incantesimo difensivo
Delete	Elimina
Delete Beacon	Elimina segnalatore
Deliver	Consegna
Deposit All	Deposita tutto
Deposit Matching	Deposita i corrispondenti
Descending	Decrescente
Description:	Descrizione:
Destined Paramour	Amante Predestinato
Details	Dettagli
Developer Mode	Modalità sviluppatore
Devour	Divorare
Devour Call	Richiamo Divoratore
Difficulty	Difficoltà
Difficulty Level	Livello di difficoltà
Difficulty:	Difficoltà:
Dimraeth	Dimraeth
Dimraeth Mountains	Monti di Dimraeth
Dirt Patch	Zona di Terra
Disable Auto Target	Disattiva mira automatica
Disband	Sciogli
discipline scout	ricognizione disciplinare
Dismantle	Smonta
Display	Schermo
Display Settings	Impostazioni dello schermo
Display/Hide Item Tooltips	Mostra/nascondi le descrizioni oggetti
Display/Hide Tooltips	Mostra/nascondi le descrizioni
Divine Amulet	Amuleto Divino
Divine Charm	Ciondolo Divino
Diyar's Pet Shop	Negozio di compagni di Diyar
Dog	Cane
Dolmarok	Dolmarok
Don't show	Non mostrare
Donate	Dona
Donation	Donazione
Door	Porta
Door Frame	Telaio
Double Strike	Colpo doppio
Dragon	Drago
Dragon's Breath	Soffio del Drago
Drain Sustenance\n	Prosciuga sostentamento\n
dreamweaver	tessitore di sogni
Drink	Bevanda
Droop Core	Nucleo di Droop
Droop Empowered	Droop potenziato
Droop Farm	Allevamento di Droop
Droop Gelo	Gelatina di Droop
Droop King	Re Droop
Droop King Erupt	Eruzione del Re Droop
Droop King Lunge	Affondo del Re Droop
Droop King Spit	Sputo del Re Droop
Droop Lunge	Affondo di Droop
Droop Nest	Nido di Droop
Droop Spit	Sputo di Droop
Droop Spitter	Droop sputatore
Droop Spitter Empowered	Droop sputatore potenziato
Drooplet	Drooplet
Drooplet Empowered	Drooplet potenziato
Drop	Getta
Drop Item	Getta oggetto
Drop Stack	Getta la pila
Dryad	Driade
Dryad Beastwarden	Driade Custode delle Bestie
Dryad Beastwarden Corrupted Beast Key	Chiave della bestia corrotta: Driade Custode delle Bestie
Dryad Beastwarden Empowered	Driade Custode delle Bestie potenziata
Dryad Eye	Occhio di Driade
Dryad Lock	Ciocca di Driade
Dryad Rivercaller	Driade Rivercaller
Dryad Rivercaller Corrupted Beast Key	Chiave della bestia corrotta: Driade Rivercaller
Dryad Rivercaller Empowered	Driade Rivercaller potenziata
Dryad Rootweaver	Driade Tessiradici
Dryad Rootweaver Corrupted Beast Key	Chiave della bestia corrotta: Driade Tessiradici
Dryad Rootweaver Empowered	Driade Tessiradici potenziata
dryad-touched water	acqua toccata dalle driadi
Dryads	Driadi
Dualbond	Doppio Vincolo
Dualpath	Doppia Via
Durability	Durabilità
Duratianus	Duratianus
Duration	Durata
Duskbloom	Fiore del Crepuscolo
Dwarf	Nano
dwarf	nano
Dwarven Poet	Poeta Nanico
Dwarven Road	Strada Nanica
Dwarves	Nani
dwarves	nani
Dynamic (Native)	Dinamica (nativa)
Dzn's Shop	Negozio di Dzn
Earlwood	Earlwood
Earlwood Banner	Stendardo di Earlwood
Earlwood Barrel Chair	Sedia a Botte di Earlwood
Earlwood Bed	Letto di Earlwood
Earlwood Brazier	Braciere di Earlwood
Earlwood Bridge	Ponte di Earlwood
Earlwood Crossroads	Crocevia di Earlwood
Earlwood Entrance	Ingresso di Earlwood
Earlwood Farmlands	Terre coltivate di Earlwood
